Date,Value
2015-04-19,334287.104212
2015-04-18,326913.123972
2015-04-17,329371.117385
2015-04-16,339203.091039
2015-04-15,302333.189839
2015-04-14,388362.959305
2015-04-13,346577.071279
2015-04-12,334287.104212
2015-04-11,336745.097625
2015-04-10,349035.064692
2015-04-09,351493.058105
2015-04-08,292501.216186
2015-04-07,390820.952719
2015-04-06,317081.150319
2015-04-05,371157.005412
2015-04-04,357640.666348
2015-04-03,350673.64038
2015-04-02,341384.272423
2015-04-01,329772.562477
2015-03-31,346028.956402
2015-03-30,329772.562477
2015-03-29,350673.64038
2015-03-28,348351.298391
2015-03-27,399442.822155
2015-03-26,346028.956402
2015-03-25,385508.770219
2015-03-24,387831.112209
2015-03-23,358360.75476
