Date,Value
2015-12-27,1955357.22
2015-12-26,1537832.4
2015-12-25,1709121.75
2015-12-24,1837989.6
2015-12-23,1553396.74
2015-12-22,1706543.0
2015-12-21,1851709.86
2015-12-20,1803135.6
2015-12-19,1852781.15
2015-12-18,1819000.68
2015-12-17,1926328.77
2015-12-16,2234910.72
2015-12-15,1978018.4
2015-12-14,1648972.82
2015-12-13,1796268.96
2015-12-12,1961096.06
2015-12-11,2051183.4
2015-12-10,1847312.62
2015-12-09,1582724.93
2015-12-08,1505973.06
2015-12-07,1688873.2
2015-12-06,1688873.2
2015-12-05,1598511.04
2015-12-04,1316201.19
2015-12-03,1337791.88
2015-12-02,1736234.24
2015-12-01,1408908.46
2015-11-30,1436265.08
2015-11-29,1301570.64
2015-11-28,1348275.0
2015-11-27,1419492.0
2015-11-26,1259375.0
2015-11-25,1227886.4
2015-11-24,1306072.25
2015-11-23,1409226.76
2015-11-22,1456881.0
2015-11-21,1282480.0
2015-11-20,1159725.0
2015-11-19,1179974.88
2015-11-18,1360933.45
2015-11-17,1457241.0
2015-11-16,1175537.51
2015-11-15,1269517.5
2015-11-14,1395572.2
2015-11-13,1218630.0
2015-11-12,1380604.5
2015-11-11,1273595.16
2015-11-10,1402696.4
2015-11-09,1344441.24
2015-11-08,1589032.76
2015-11-07,1342629.66
2015-11-06,1504000.0
2015-11-05,1713673.05
2015-11-04,1628638.0
2015-11-03,1245221.95
2015-11-02,1246623.0
2015-11-01,1190201.76
2015-10-31,1360583.6
2015-10-30,1158573.88
2015-10-29,1024800.6
2015-10-28,1173025.4
2015-10-27,1089933.75
2015-10-26,1150243.99
2015-10-25,980489.7
2015-10-24,1075873.54
2015-10-23,1083198.3
2015-10-22,983560.5
2015-10-21,864439.2
2015-10-20,1103132.16
2015-10-19,944259.12
2015-10-18,944259.12
2015-10-17,888738.21
2015-10-16,1023533.62
2015-10-15,1045411.92
2015-10-14,974099.6
2015-10-13,842332.5
2015-10-12,868877.49
2015-10-11,935013.52
2015-10-10,921712.5
2015-10-09,819523.44
2015-10-08,841733.41
2015-10-07,834095.25
2015-10-06,924519.16
2015-10-05,890376.84
2015-10-04,908309.71
2015-10-03,914586.08
2015-10-02,748769.22
2015-10-01,927003.42
2015-09-30,928562.73
2015-09-29,1033908.0
2015-09-28,836290.0
2015-09-27,842917.0
2015-09-26,961315.83
2015-09-25,853501.1
2015-09-24,868521.15
2015-09-23,923685.18
2015-09-22,753538.56
2015-09-21,695204.0
2015-09-20,766418.62
2015-09-19,844821.74
2015-09-18,830934.0
2015-09-17,854930.72
2015-09-16,943920.0
