Date,OFR FSI,Credit,Equity valuation,Safe assets,Funding,Volatility,United States,Other advanced economies,Emerging markets
2004-12-16,-2.98,-2.224,-0.167,0.475,-0.058,-1.006,-0.783,-1.234,-0.963
2004-12-17,-2.9,-2.257,-0.148,0.51,-0.01,-0.995,-0.7,-1.241,-0.959
2004-12-20,-2.926,-2.239,-0.163,0.549,-0.046,-1.027,-0.738,-1.229,-0.959
2004-12-21,-3.01,-2.258,-0.192,0.52,0.0,-1.08,-0.752,-1.296,-0.962
2004-12-22,-3.097,-2.247,-0.226,0.511,-0.05,-1.085,-0.8,-1.325,-0.972
2004-12-23,-3.032,-2.23,-0.23,0.548,-0.057,-1.063,-0.801,-1.259,-0.972
2004-12-27,-2.964,-2.274,-0.231,0.608,-0.085,-0.982,-0.781,-1.183,-1.0
2004-12-28,-2.917,-2.264,-0.267,0.608,-0.023,-0.971,-0.801,-1.128,-0.988
2004-12-29,-3.094,-2.28,-0.261,0.561,-0.174,-0.94,-0.882,-1.218,-0.994
2004-12-30,-3.039,-2.253,-0.275,0.586,-0.192,-0.905,-0.855,-1.202,-0.982
2004-12-31,-2.827,-2.172,-0.07,0.559,-0.217,-0.927,-0.71,-1.182,-0.935
2005-01-03,-2.859,-2.126,-0.054,0.48,-0.279,-0.88,-0.734,-1.22,-0.905
2005-01-04,-2.981,-2.219,-0.025,0.368,-0.229,-0.876,-0.716,-1.299,-0.966
2005-01-05,-2.922,-2.16,0.013,0.363,-0.268,-0.87,-0.736,-1.261,-0.925
2005-01-06,-2.965,-2.1,-0.015,0.298,-0.255,-0.893,-0.767,-1.299,-0.899
2005-01-07,-3.186,-2.134,-0.019,0.251,-0.289,-0.995,-0.852,-1.415,-0.919
2005-01-10,-3.255,-2.113,-0.032,0.266,-0.289,-1.087,-0.892,-1.458,-0.905
2005-01-11,-3.219,-2.096,-0.014,0.289,-0.263,-1.135,-0.845,-1.479,-0.895
2005-01-12,-3.12,-2.112,-0.002,0.376,-0.243,-1.139,-0.847,-1.367,-0.906
2005-01-13,-3.134,-2.081,0.028,0.354,-0.254,-1.181,-0.824,-1.399,-0.911
2005-01-14,-3.31,-2.08,-0.017,0.312,-0.309,-1.216,-0.946,-1.434,-0.93
2005-01-18,-3.364,-2.048,-0.058,0.281,-0.287,-1.252,-0.981,-1.476,-0.907
2005-01-19,-3.334,-2.06,-0.03,0.268,-0.251,-1.261,-0.895,-1.532,-0.907
2005-01-20,-3.262,-2.004,0.022,0.243,-0.276,-1.247,-0.86,-1.512,-0.89
2005-01-21,-3.173,-1.999,0.049,0.296,-0.241,-1.278,-0.761,-1.52,-0.892
2005-01-24,-3.224,-2.027,0.051,0.301,-0.266,-1.283,-0.777,-1.528,-0.919
2005-01-25,-3.509,-2.102,0.024,0.219,-0.313,-1.337,-0.904,-1.639,-0.966
2005-01-26,-3.555,-2.128,-0.011,0.287,-0.304,-1.399,-0.95,-1.637,-0.968
2005-01-27,-3.514,-2.155,-0.015,0.283,-0.252,-1.375,-0.87,-1.674,-0.97
2005-01-28,-3.493,-2.108,0.003,0.274,-0.278,-1.384,-0.889,-1.655,-0.949
