"time","timeDate","close","high","low","open","volumefrom","volumeto"
1497657600000,"2017-06-17",394.21,405.39,355.45,381.03,17049.01,6418545.77
1497744000000,"2017-06-18",369.01,398.18,361.92,394.21,12374.14,4657910.9
1497830400000,"2017-06-19",401.68,406.69,338.08,369.01,9561.63,3655011.76
1497916800000,"2017-06-20",410.68,439.35,397.07,401.68,21056.65,8722119.26
1498003200000,"2017-06-21",381.34,417.69,346.33,410.68,15568.27,5931988.99
1498089600000,"2017-06-22",379.23,403.72,363.02,381.34,9551.87,3607029.71
1498176000000,"2017-06-23",374.68,409.37,373.06,379.23,4787.2,1828336.13
1498262400000,"2017-06-24",351.35,389.82,338.39,374.68,6995.48,2505405.01
1498348800000,"2017-06-25",313.92,351.9,285.81,351.35,12472.72,3997530.27
1498435200000,"2017-06-26",295.92,333.53,245.19,313.92,24716.06,6909838.78
1498521600000,"2017-06-27",335.58,360.96,266.05,295.92,29796.61,8941235.06
1498608000000,"2017-06-28",336.91,344.2,312.99,335.58,15664.18,5089252.99
1498694400000,"2017-06-29",313.57,343.23,304.89,336.91,20561.41,6502176.54
1498780800000,"2017-06-30",291.72,317.77,287.83,313.57,16098.94,4864190.13
1498867200000,"2017-07-01",275.39,297.95,258.71,291.72,14699.87,4093734.4
1498953600000,"2017-07-02",293.63,297.96,258.67,275.39,15320.69,4254616.8
1499040000000,"2017-07-03",288.91,294.79,276.5,293.63,14402.17,4099334.72
1499126400000,"2017-07-04",281.63,298.35,274.54,288.91,16475.75,4753916.81
1499212800000,"2017-07-05",282.44,286.92,266.95,281.63,13632.49,3741289.45
1499299200000,"2017-07-06",285.91,295.12,273.23,282.44,16248.95,4600715.42
1499385600000,"2017-07-07",248.06,290.08,246.16,285.91,19201.23,5082300.47
1499472000000,"2017-07-08",249.8,250.43,231.26,248.06,14701.98,3571899.46
1499558400000,"2017-07-09",241.43,262.78,241.24,249.8,11413.37,2882997.34
1499644800000,"2017-07-10",196.09,242.65,179.5,241.43,28207.63,5966669.72
1499731200000,"2017-07-11",176.76,206.56,167.65,196.09,37732.08,6856401
1499817600000,"2017-07-12",211.4,221.06,163.3,176.76,23575.39,4570202.81
1499904000000,"2017-07-13",194.59,219.84,184.87,211.4,12971.98,2569022.92
1499990400000,"2017-07-14",177.06,196.94,165.57,194.59,12612.42,2228795.35
1500076800000,"2017-07-15",160.34,178.45,155.38,177.06,16273.67,2688992.22
1500163200000,"2017-07-16",163.34,166.73,138.12,160.34,28764.18,4419206.12
1500249600000,"2017-07-17",179.21,181.29,147.6,163.34,25405.79,4313454.66
1500336000000,"2017-07-18",200.07,225.23,168.64,179.21,35852.55,7066793.25
1500422400000,"2017-07-19",181.23,218.31,177.44,200.07,27161.07,5436517.85
1500508800000,"2017-07-20",209.58,217.88,180.76,181.23,31181.39,6369271.74
1500595200000,"2017-07-21",203.65,217,197.47,209.58,17716.53,3724598.28
1500681600000,"2017-07-22",218.97,235.76,200.38,203.65,12089.07,2571824.38
1500768000000,"2017-07-23",211.88,227.85,207.77,218.97,22565.53,4906286.94
1500854400000,"2017-07-24",210.78,213.95,207.63,211.88,15813.91,3331000.03
1500940800000,"2017-07-25",186.7,211.87,176.61,210.78,32491.07,6188593.55
1501027200000,"2017-07-26",189.18,190.42,174.85,186.7,28620.33,5243696.18
1501113600000,"2017-07-27",186.74,192.42,181.87,189.18,18675.01,3495017.87
1501200000000,"2017-07-28",175.5,190.76,172.26,186.74,22557.18,4026018.93
1501286400000,"2017-07-29",186.02,187.61,165.56,175.5,19979.85,3458582.11
1501372800000,"2017-07-30",173.54,186.28,172.71,186.02,16613.83,2970981.47
1501459200000,"2017-07-31",172.29,177.55,166.91,173.54,18628.38,3186139.81
1501545600000,"2017-08-01",189.89,194.7,170.8,172.29,29801.99,5478319.52
1501632000000,"2017-08-02",188.7,210.37,182.36,189.89,26636.88,5039904.57
1501718400000,"2017-08-03",187.94,191.32,182.63,188.7,16533.09,3099793.38
1501804800000,"2017-08-04",186.64,190.89,184.24,187.94,16132.44,3027654.94
1501891200000,"2017-08-05",205.53,213.98,184.23,186.64,33823.59,6739992.78
1501977600000,"2017-08-06",208.12,214.04,200.24,205.53,19593.18,4086326.78
1502064000000,"2017-08-07",208.4,211.34,204.17,208.12,23843.79,4952662.61
1502150400000,"2017-08-08",247.89,259.03,207.02,208.4,43816.57,10043926.36
1502236800000,"2017-08-09",241.86,261.71,225.03,247.89,45976.95,11215398.18
1502323200000,"2017-08-10",231.75,248.45,231.28,241.86,24706.97,5958112.96
1502409600000,"2017-08-11",235.3,236.28,225.34,231.75,20969.09,4839779.26
1502496000000,"2017-08-12",223.23,236.78,217.82,235.3,22945.57,5226898.88
1502582400000,"2017-08-13",213.47,225.25,195.06,223.23,22824.67,4846320.51
1502668800000,"2017-08-14",210.69,217.99,202.36,213.47,22369.53,4716323.46
